Daily Returns & Portfolio Return,,,,,,,
Daily return = Current Price / Previous Price − 1. Portfolio return = weighted sum of stock returns.,,,,,,,
,,,,,,,
Date,Reliance Industries,HDFC Bank,TCS,ICICI Bank,Infosys,Portfolio Return,NIFTY 50
04-Nov-2024,(2.73%),(1.34%),(0.50%),(1.13%),0.16%,(1.26%),(1.27%)
05-Nov-2024,0.24%,2.55%,0.18%,1.53%,(0.54%),0.88%,0.91%
06-Nov-2024,1.54%,(0.15%),4.24%,0.44%,3.96%,1.85%,1.12%
07-Nov-2024,(1.49%),(0.50%),0.27%,(1.82%),(1.13%),(0.88%),(1.16%)
08-Nov-2024,(1.68%),0.45%,(0.09%),(1.55%),1.49%,(0.33%),(0.21%)
11-Nov-2024,(0.86%),0.68%,1.25%,0.83%,1.65%,0.57%,(0.03%)
12-Nov-2024,0.12%,(2.72%),(0.03%),0.10%,0.47%,(0.57%),(1.07%)
13-Nov-2024,(1.74%),(2.14%),(1.12%),(1.33%),(0.02%),(1.40%),(1.36%)
14-Nov-2024,1.24%,0.68%,(0.11%),0.26%,(0.21%),0.47%,(0.11%)
18-Nov-2024,(0.54%),0.73%,(3.05%),(0.28%),(2.85%),(1.03%),(0.34%)
19-Nov-2024,(1.51%),2.18%,0.50%,(0.35%),0.73%,0.32%,0.28%
21-Nov-2024,(1.50%),(0.06%),0.82%,0.12%,0.51%,(0.13%),(0.72%)
22-Nov-2024,3.47%,0.25%,4.22%,2.20%,3.72%,2.66%,2.39%
25-Nov-2024,1.71%,2.29%,1.66%,1.79%,(0.66%),1.50%,1.32%
26-Nov-2024,0.68%,(0.00%),0.87%,0.31%,1.82%,0.66%,(0.11%)
27-Nov-2024,(0.19%),1.50%,(0.46%),(0.33%),0.02%,0.19%,0.33%
28-Nov-2024,(1.73%),(1.06%),(2.02%),(1.10%),(3.53%),(1.80%),(1.49%)
29-Nov-2024,1.68%,0.16%,0.61%,1.07%,0.06%,0.75%,0.91%
02-Dec-2024,1.31%,0.48%,0.14%,0.35%,1.18%,0.71%,0.60%
03-Dec-2024,1.08%,1.20%,0.61%,0.29%,0.65%,0.83%,0.75%
04-Dec-2024,(1.08%),1.85%,1.20%,0.58%,(0.15%),0.50%,0.04%
05-Dec-2024,1.00%,0.30%,2.52%,1.55%,2.41%,1.42%,0.98%
06-Dec-2024,(0.79%),(0.53%),(0.42%),(0.58%),(0.64%),(0.60%),(0.12%)
