Daily Returns & Portfolio Return,,,,,,,
Daily return = Current Price / Previous Price − 1. Portfolio return = weighted sum of stock returns.,,,,,,,
,,,,,,,
Date,Reliance Industries,HDFC Bank,TCS,ICICI Bank,Infosys,Portfolio Return,NIFTY 50
01-Aug-2024,0.66%,1.43%,0.27%,(0.40%),(0.84%),0.39%,0.24%
02-Aug-2024,(1.05%),1.24%,(2.59%),(1.12%),(1.69%),(0.89%),(1.17%)
05-Aug-2024,(3.47%),(2.62%),(2.99%),(2.00%),(3.81%),(2.99%),(2.68%)
06-Aug-2024,0.60%,(0.90%),0.39%,(0.49%),(0.05%),(0.08%),(0.26%)
07-Aug-2024,0.60%,1.39%,0.70%,0.48%,2.32%,1.06%,1.27%
08-Aug-2024,(1.07%),1.18%,(0.66%),(0.67%),(2.71%),(0.61%),(0.74%)
09-Aug-2024,1.74%,0.46%,1.35%,0.60%,1.58%,1.15%,1.04%
12-Aug-2024,(0.93%),0.60%,(0.78%),0.96%,1.51%,0.13%,(0.08%)
13-Aug-2024,0.21%,(3.43%),0.03%,(0.38%),0.00%,(0.86%),(0.85%)
14-Aug-2024,(0.12%),0.29%,2.34%,(0.57%),1.44%,0.64%,0.02%
16-Aug-2024,1.12%,1.51%,2.81%,2.20%,1.96%,1.84%,1.65%
19-Aug-2024,1.03%,(0.03%),1.67%,(0.96%),0.31%,0.49%,0.13%
20-Aug-2024,0.51%,0.38%,0.74%,0.30%,0.40%,0.47%,0.51%
21-Aug-2024,0.18%,(0.73%),0.62%,(0.39%),0.03%,(0.07%),0.29%
22-Aug-2024,(0.04%),0.34%,(1.09%),1.38%,0.40%,0.13%,0.17%
23-Aug-2024,0.12%,(0.38%),(0.85%),1.04%,(0.97%),(0.22%),0.05%
26-Aug-2024,0.84%,0.92%,0.86%,0.81%,0.75%,0.85%,0.76%
27-Aug-2024,(0.80%),(0.13%),(0.12%),1.08%,1.28%,0.09%,0.03%
28-Aug-2024,(0.14%),(0.04%),0.20%,(0.20%),2.05%,0.27%,0.14%
29-Aug-2024,1.51%,0.09%,0.13%,(0.16%),(0.30%),0.36%,0.40%
30-Aug-2024,(0.74%),(0.10%),0.93%,0.60%,0.54%,0.14%,0.33%
02-Sep-2024,0.44%,(0.61%),(0.72%),0.06%,1.07%,(0.02%),0.17%
03-Sep-2024,(0.47%),0.64%,(0.19%),1.44%,(1.18%),0.04%,0.00%
04-Sep-2024,0.36%,0.27%,(0.73%),(0.91%),(0.97%),(0.27%),(0.32%)
05-Sep-2024,(1.42%),0.22%,(0.07%),(0.03%),0.56%,(0.24%),(0.21%)
06-Sep-2024,(1.89%),(0.52%),(0.43%),(2.25%),(1.62%),(1.27%),(1.17%)
09-Sep-2024,(0.16%),0.58%,(0.16%),2.22%,(0.38%),0.35%,0.34%
10-Sep-2024,(0.06%),0.23%,1.31%,0.19%,0.93%,0.47%,0.42%
11-Sep-2024,(0.69%),(0.39%),(0.63%),(0.08%),(0.11%),(0.42%),(0.49%)
12-Sep-2024,1.95%,1.38%,0.86%,1.28%,2.11%,1.51%,1.89%
13-Sep-2024,(0.48%),(0.04%),0.11%,(0.14%),(0.33%),(0.18%),(0.13%)
16-Sep-2024,(0.09%),0.30%,(0.21%),1.00%,0.32%,0.21%,0.11%
17-Sep-2024,0.06%,(0.13%),(0.17%),0.42%,0.12%,0.03%,0.14%
18-Sep-2024,(0.60%),1.56%,(3.54%),1.60%,(3.09%),(0.69%),(0.16%)
19-Sep-2024,0.43%,0.81%,(1.15%),0.28%,0.11%,0.14%,0.15%
20-Sep-2024,1.11%,1.91%,(0.26%),3.60%,0.61%,1.33%,1.48%
23-Sep-2024,0.50%,1.07%,(0.38%),(1.24%),(0.49%),0.06%,0.57%
24-Sep-2024,(0.27%),0.47%,0.07%,(0.25%),0.11%,0.04%,0.01%
25-Sep-2024,0.31%,0.62%,0.08%,0.40%,(0.17%),0.28%,0.25%
26-Sep-2024,0.27%,0.24%,0.42%,0.39%,0.26%,0.31%,0.81%
