Historical Adjusted Price Data,,,,,,
"Actual historical data, 02-Jan-2023 to 31-Dec-2025. Stocks: Yahoo Finance/yfinance-derived adjusted prices. NIFTY 50: ^NSEI historical index close (for an index, Close is the adjusted-price series).",,,,,,
,,,,,,
Date,Reliance Industries,HDFC Bank,TCS,ICICI Bank,Infosys,NIFTY 50
08-Mar-2023,"₹1,098.43",₹771.80,"₹3,076.34",₹851.03,"₹1,340.00","₹17,754.40"
09-Mar-2023,"₹1,072.03",₹771.87,"₹3,027.75",₹835.27,"₹1,328.96","₹17,589.60"
10-Mar-2023,"₹1,055.42",₹751.97,"₹3,022.44",₹822.29,"₹1,321.01","₹17,412.90"
13-Mar-2023,"₹1,038.07",₹742.46,"₹2,977.93",₹808.39,"₹1,288.29","₹17,154.30"
14-Mar-2023,"₹1,034.18",₹740.47,"₹2,917.14",₹810.29,"₹1,274.74","₹17,043.30"
15-Mar-2023,"₹1,016.51",₹729.84,"₹2,902.58",₹805.95,"₹1,274.42","₹16,972.15"
16-Mar-2023,"₹1,011.44",₹734.57,"₹2,889.96",₹804.00,"₹1,260.46","₹16,985.60"
17-Mar-2023,"₹1,010.17",₹744.40,"₹2,884.79",₹816.05,"₹1,275.36","₹17,100.05"
20-Mar-2023,"₹1,000.24",₹739.24,"₹2,852.13",₹816.24,"₹1,260.06","₹16,988.40"
21-Mar-2023,"₹1,031.34",₹747.62,"₹2,818.37",₹831.81,"₹1,248.43","₹17,107.50"
22-Mar-2023,"₹1,034.48",₹745.89,"₹2,840.78",₹839.42,"₹1,247.13","₹17,151.90"
23-Mar-2023,"₹1,021.39",₹739.90,"₹2,835.20",₹834.78,"₹1,233.94","₹17,076.90"
24-Mar-2023,"₹1,001.17",₹738.72,"₹2,831.44",₹831.81,"₹1,239.41","₹16,945.05"
27-Mar-2023,"₹1,016.73",₹741.94,"₹2,833.07",₹828.20,"₹1,246.86","₹16,985.70"
28-Mar-2023,"₹1,021.48",₹747.97,"₹2,827.26",₹834.10,"₹1,236.67","₹16,951.70"
29-Mar-2023,"₹1,015.44",₹751.57,"₹2,848.13",₹830.44,"₹1,242.02","₹17,080.70"
31-Mar-2023,"₹1,059.22",₹761.86,"₹2,908.93",₹856.06,"₹1,281.87","₹17,359.75"
03-Apr-2023,"₹1,059.40",₹762.34,"₹2,903.57",₹862.45,"₹1,266.52","₹17,398.05"
05-Apr-2023,"₹1,056.86",₹782.78,"₹2,939.69",₹863.23,"₹1,277.92","₹17,557.05"
06-Apr-2023,"₹1,063.94",₹788.75,"₹2,922.36",₹853.86,"₹1,276.44","₹17,599.15"
